dist,z,remarks,x,y
0.00,97.46,BLB,,
0.20,98.94,TLB,,
10.30,98.18,LEP TOP,,
10.3,97.92,LEP BOP,565121.272,5403978.14
11.80,98,,,
14.8,97.86,,,
16.8,97.72,,,
18.8,97.32,,,
21.8,97.52,,,
23.8,97.47,,,
26.8,97.38,,,
29.8,97.8,crest of bar,,
31.8,97.64,,,
35.8,97.38,,,
38.8,97.26,,,
41.8,97.2,,,
43.8,96.91,,,
45,96.79,LEW,,
45.8,96.55,,,
47.8,96.4,,,
49.8,96.25,,,
51.8,96.13,,,
53.8,96.04,,,
55.8,95.95,,,
57.8,95.89,,,
59.8,95.92,,,
61.8,96.23,,,
63.8,96.48,,,
65.8,96.75,REW,,
66.8,97.23,,,
68.2,98.5,TRB,,
69.3,98.42,,,
70.8,98.59,REP TOP XS28,,
70.8,98.47,REP BOP XS28,565182.0335,5403978.405
,,,,
