dist,elev,remarks,x,y
0,97.7,edge of FP,,
15.6,97.43,BOP LEP,565123.6472,5403997.918
15.6,97.7,TOP LEP,,
17.2,97.36,edge of alders,,
18.4,96.85,edge of active channel,,
19.9,96.74,,,
21.4,96.86,edge of willows,,
23.4,96.8,,,
25.4,97.04,,,
28.4,97.15,,,
31.4,97.31,,,
34.4,97.32,,,
37.4,97.25,,,
39.4,97.03,,,
40.7,96.68,LEW,,
41.4,96.57,,,
42.4,96.52,,,
43.4,96.5,,,
44.4,96.42,,,
45.4,96.35,,,
46.4,96.35,,,
47.4,96.37,,,
48.4,96.34,,,
49.4,96.27,,,
50.4,96.19,,,
51.4,96.08,,,
52.4,96.06,,,
53.4,96,,,
54.4,95.95,,,
55.4,95.85,,,
56.4,95.86,,,
57.4,95.73,,,
58.4,95.54,,,
59.4,95.79,,,
60.4,95.96,,,
61.4,96.05,,,
62.4,96.13,,,
63.4,96.38,,,
64.4,96.48,,,
65.4,96.7,REW,,
65.9,97.18,,,
66.2,98.1,TRB,,
68.9,98.16,,,
69.4,98.11,REP BOP XS29,565175.5708,5404013.279
69.4,98.25,REP TOP XS29,,
